article_id,especie_id
2-s2.0-85044294782,759
2-s2.0-85044309943,949
2-s2.0-85030720831,425
2-s2.0-85053283173,298
2-s2.0-85078543698,1987
2-s2.0-85078543698,1158
2-s2.0-85054344762,66
2-s2.0-85029228687,162
2-s2.0-84942570634,1988
2-s2.0-84942570634,223
2-s2.0-84957998578,256
2-s2.0-84924133209,1101
2-s2.0-84952885235,1104
2-s2.0-84951336297,959
2-s2.0-84926643180,1713
2-s2.0-84885602802,1405
2-s2.0-84888402460,1388
2-s2.0-84888402460,1390
2-s2.0-84929247128,32
2-s2.0-84963705379,1989
2-s2.0-84963705379,599
2-s2.0-84886743843,785
2-s2.0-84903732335,1056
2-s2.0-84947087101,703
2-s2.0-84932139355,1575
2-s2.0-84932139355,1578
2-s2.0-84940096134,1728
2-s2.0-84939248793,1148
2-s2.0-84948958232,743
2-s2.0-84944384828,1597
2-s2.0-84882602636,1373
2-s2.0-84893318139,699
2-s2.0-84887217645,685
2-s2.0-84958757484,576
2-s2.0-84947944527,785
2-s2.0-84987657385,1032
2-s2.0-84954420616,688
2-s2.0-84931832385,1819
2-s2.0-84892749888,152
2-s2.0-84940902884,678
2-s2.0-84979752242,82
2-s2.0-84894542744,1392
2-s2.0-84901945307,182
2-s2.0-84930933045,399
2-s2.0-84994633797,879
2-s2.0-84979913023,1450
2-s2.0-84973293532,427
2-s2.0-84940839512,795
2-s2.0-84939258722,157
2-s2.0-84932093110,129
2-s2.0-84948465589,1639
2-s2.0-84923999814,821
2-s2.0-84976524460,1036
2-s2.0-84951284607,559
2-s2.0-84951284607,576
2-s2.0-84932124900,1367
2-s2.0-84957065589,1140
2-s2.0-84957065589,1179
2-s2.0-84896394540,1450
2-s2.0-84971282310,1051
2-s2.0-84928739473,1441
2-s2.0-84938966349,1767
2-s2.0-84942279069,782
2-s2.0-84957070301,1211
2-s2.0-84974777782,779
2-s2.0-84906308993,194
2-s2.0-84964057619,1171
2-s2.0-84885457783,1530
2-s2.0-84976449636,50
2-s2.0-84902547001,51
2-s2.0-84890435572,1428
2-s2.0-84924131875,1104
2-s2.0-84957083560,571
2-s2.0-84939130787,1597
2-s2.0-84959461582,521
2-s2.0-84908619466,1429
2-s2.0-85008386248,364
2-s2.0-84890556188,1990
2-s2.0-84890556188,66
2-s2.0-85010222090,1231
2-s2.0-84981275866,1636
2-s2.0-84907571430,1770
2-s2.0-84979947918,1991
2-s2.0-84979947918,1597
2-s2.0-84896849261,270
2-s2.0-84933505930,249
2-s2.0-84934950980,703
2-s2.0-84956908664,894
2-s2.0-84908223594,1212
2-s2.0-84940765972,534
2-s2.0-84932139147,261
2-s2.0-85027917290,66
2-s2.0-85027917290,825
2-s2.0-85027917290,888
2-s2.0-84931559928,32
2-s2.0-84892751577,1357
2-s2.0-84973299829,1988
2-s2.0-84936936770,1157
2-s2.0-84883712497,194
2-s2.0-84960482019,582
2-s2.0-84960482019,733
2-s2.0-85019155003,821
2-s2.0-84939189558,32
2-s2.0-84897476485,683
2-s2.0-84979729299,743
2-s2.0-84908511430,598
2-s2.0-84908511430,599
2-s2.0-84945977356,795
2-s2.0-84964048586,1615
2-s2.0-84919363688,621
2-s2.0-84956632805,553
2-s2.0-80053187534,576
2-s2.0-84879270992,732
2-s2.0-84883301598,1326
2-s2.0-84864314923,688
2-s2.0-80053224124,1791
2-s2.0-84859445326,51
2-s2.0-84859445201,1992
2-s2.0-84859445201,50
2-s2.0-84859548045,636
2-s2.0-84875413887,1440
2-s2.0-84871526530,974
2-s2.0-84863444888,240
2-s2.0-79957727184,1885
2-s2.0-79957727184,1993
2-s2.0-84859241591,1074
2-s2.0-84879021178,1992
2-s2.0-84879021178,50
2-s2.0-84871433581,1994
2-s2.0-84871189368,652
2-s2.0-78649247505,861
2-s2.0-84875206771,599
2-s2.0-84865125680,1707
2-s2.0-84865125680,629
2-s2.0-79958221516,1047
2-s2.0-84874523237,785
2-s2.0-84857030497,785
2-s2.0-84866909315,1428
2-s2.0-84886907259,1770
2-s2.0-79956152582,1519
2-s2.0-84878969503,714
2-s2.0-78651227095,683
2-s2.0-84873079192,560
2-s2.0-79956348934,204
2-s2.0-77953373352,513
2-s2.0-79955928322,553
2-s2.0-79952225953,688
2-s2.0-79952225953,722
2-s2.0-77955546969,1889
2-s2.0-84881153451,1737
2-s2.0-84873373148,771
2-s2.0-84867498808,1450
2-s2.0-84885082353,825
2-s2.0-84885082353,838
2-s2.0-84881220999,647
2-s2.0-84862759209,771
2-s2.0-79952915872,1118
2-s2.0-77955944983,142
2-s2.0-84878751197,1995
2-s2.0-84878751197,771
2-s2.0-77953127901,19
2-s2.0-84865273119,514
2-s2.0-84878169037,366
2-s2.0-79960801221,1986
2-s2.0-79960801221,1450
2-s2.0-84856565394,609
2-s2.0-84874891082,694
2-s2.0-84887109870,851
2-s2.0-78650382320,1028
2-s2.0-77949839764,428
2-s2.0-84855182207,241
2-s2.0-78650022517,509
2-s2.0-84876283636,240
2-s2.0-84873499842,534
2-s2.0-78649963709,82
2-s2.0-84881058369,1630
2-s2.0-84867094213,51
2-s2.0-82355163395,785
2-s2.0-84879936602,1710
2-s2.0-77956057945,785
2-s2.0-84879711254,894
2-s2.0-84880987785,1581
2-s2.0-84880987785,1582
2-s2.0-84879253787,202
2-s2.0-79952234020,623
2-s2.0-84865222020,620
2-s2.0-70449651722,1441
2-s2.0-84861569722,1441
2-s2.0-80053545553,888
2-s2.0-84866937279,1459
2-s2.0-84875581937,60
2-s2.0-79959766990,1996
2-s2.0-79959766990,1718
2-s2.0-84870004519,1596
2-s2.0-84862504058,1807
2-s2.0-84859037265,785
2-s2.0-84865141477,959
2-s2.0-80053076847,240
2-s2.0-84875876155,534
2-s2.0-84875876155,1997
2-s2.0-84863695834,573
2-s2.0-84871417305,66
2-s2.0-84860182370,155
2-s2.0-84873994362,611
2-s2.0-84866451835,1514
2-s2.0-84866451835,1515
2-s2.0-77954050781,51
2-s2.0-80054737399,1370
2-s2.0-80054737399,1998
2-s2.0-79959757221,1384
2-s2.0-84855445273,206
2-s2.0-79952406769,379
2-s2.0-84859573218,1385
2-s2.0-77954030729,82
2-s2.0-84863450704,240
2-s2.0-84755161250,245
2-s2.0-78650238192,60
2-s2.0-77954670214,1428
2-s2.0-77954670214,1999
2-s2.0-34548707585,2000
2-s2.0-34548707585,1441
2-s2.0-73449123051,220
2-s2.0-59949098600,1061
2-s2.0-33745023891,1335
2-s2.0-33745023891,1337
2-s2.0-29044433672,508
2-s2.0-66949168051,82
2-s2.0-41249087769,93
2-s2.0-1842683936,1716
2-s2.0-72249084509,534
2-s2.0-29144433462,772
2-s2.0-29144433462,773
2-s2.0-67949093021,785
2-s2.0-40849100222,1714
2-s2.0-21044444792,60
2-s2.0-74249096225,82
2-s2.0-33646104921,60
2-s2.0-73849103557,124
2-s2.0-70349947243,834
2-s2.0-84989220702,1271
2-s2.0-4143105902,1708
2-s2.0-33748882448,341
2-s2.0-56949093520,759
2-s2.0-71049173352,2001
2-s2.0-71049173352,688
2-s2.0-22344448050,1197
2-s2.0-77958022833,553
2-s2.0-77958022833,2002
2-s2.0-33748665250,534
2-s2.0-70349989698,151
2-s2.0-29844454548,511
2-s2.0-59949103836,576
2-s2.0-45849099406,885
2-s2.0-40449143078,785
2-s2.0-34347395985,1597
2-s2.0-11244343928,167
2-s2.0-70349952435,206
2-s2.0-33749031305,1649
2-s2.0-77149160649,1388
2-s2.0-8544277308,517
2-s2.0-78049434008,587
2-s2.0-34948853234,1816
2-s2.0-40549093604,623
2-s2.0-77950534451,1440
2-s2.0-39449120718,1713
2-s2.0-0037284740,696
2-s2.0-77954484542,399
2-s2.0-21744433577,288
2-s2.0-34548496881,699
2-s2.0-34248546568,1816
2-s2.0-7944227786,341
2-s2.0-23744462673,1428
2-s2.0-35348896514,441
2-s2.0-65249145967,1133
2-s2.0-50549088031,623
2-s2.0-69249240207,1776
2-s2.0-21744441983,1682
2-s2.0-68949220410,2003
2-s2.0-68949220410,25
2-s2.0-68949213207,1977
2-s2.0-68949213207,785
2-s2.0-0344100107,1839
2-s2.0-33646229520,894
2-s2.0-33748881370,341
2-s2.0-37049039676,2004
2-s2.0-37049039676,1459
2-s2.0-34249810393,317
2-s2.0-24944534016,1737
2-s2.0-34250380240,771
2-s2.0-84991766660,2005
2-s2.0-84991766660,1796
2-s2.0-75449113475,894
2-s2.0-75449113475,879
2-s2.0-43749122356,2006
2-s2.0-43749122356,834
2-s2.0-84996505783,2007
2-s2.0-84996505783,1446
2-s2.0-65349153050,10
2-s2.0-33646718419,1999
2-s2.0-33646718419,1428
2-s2.0-1942502879,1428
2-s2.0-67649968808,553
2-s2.0-33846117747,90
2-s2.0-4344678918,870
2-s2.0-10144253726,541
2-s2.0-8544243525,95
2-s2.0-58049128906,683
