affiliation_id,nome_normalizado,sigla,endereco,affiliation_full_text
2d4a790f-e29a-4013-a4d9-3aeeb5af93e5,UNIVERSIDADE FEDERAL DO AMAPA UNIFAP,UNIFAP,"Programa de Pós Graduação em Biodiversidade Tropical, AP, Macapá, CEP 68903-419, Brazil","Universidade Federal do Amapá (UNIFAP), Programa de Pós Graduação em Biodiversidade Tropical, AP, Macapá, CEP 68903-419, Brazil"
c66b3356-02c5-40f0-b234-e0bf6bc2130d,LABORATORIO DE SISTEMATICA VEGETAL,SEM SIGLA,"Núcleo de Ciências Ambientais, Programa de Pós-Graduação em Biotecnologia, Universidade de Mogi das Cruzes, SP, Mogi das Cruzes, 08780-911, Brazil","Laboratório de Sistemática Vegetal, Núcleo de Ciências Ambientais, Programa de Pós-Graduação em Biotecnologia, Universidade de Mogi das Cruzes, SP, Mogi das Cruzes, 08780-911, Brazil"
21cfc992-718f-4e15-b83e-1ff6fbbb57fe,ESCOLA NACIONAL DE BOTANICA TROPICAL,SEM SIGLA,"Instituto de Pesquisas Jardim Botânico do Rio de Janeiro, RJ, Rio de Janeiro, 22460-036, Brazil","Escola Nacional de Botânica Tropical, Instituto de Pesquisas Jardim Botânico do Rio de Janeiro, RJ, Rio de Janeiro, 22460-036, Brazil"
0cd0658b-19c6-47f1-9dc4-105056dc6380,UNIVERSIDADE ESTADUAL DE CAMPINAS,SEM SIGLA,"Inst. Biologia, Depto. Biologia Vegetal, Prog. Pós-graduação em Biologia Vegetal, Cidade Universitária Zeferino Vaz, SP, Campinas, Brazil","Universidade Estadual de Campinas, Inst. Biologia, Depto. Biologia Vegetal, Prog. Pós-graduação em Biologia Vegetal, Cidade Universitária Zeferino Vaz, SP, Campinas, Brazil"
9a0fed06-00ca-464f-8d9f-9c7ee72f439d,UNIVERSITY OF MICHIGAN,SEM SIGLA,"Research Museums Center, Department of Ecology and Evolutionary Biology, Ann Arbor, United States","University of Michigan, Research Museums Center, Department of Ecology and Evolutionary Biology, Ann Arbor, United States"
2043b6da-bb3a-47ba-b330-f5ba2a0c1d91,MISSOURI BOTANICAL GARDEN,SEM SIGLA,"St. Louis, MO, United States","Missouri Botanical Garden, St. Louis, MO, United States"
982d8ac9-40fc-4bbd-814e-6c91483e1493,INSTITUTO DE PESQUISAS DO JARDIM BOTANICO DO RIO DE JANEIRO,SEM SIGLA,"JBRJ, Rua Pacheco Leão, 915 – Jardim Botânico –, Rio de Janeiro, CEP – 22460–030 –, Brazil","Instituto de Pesquisas do Jardim Botânico do Rio de Janeiro, JBRJ, Rua Pacheco Leão, 915 – Jardim Botânico –, Rio de Janeiro, CEP – 22460–030 –, Brazil"
35b1a8bb-1ca5-46af-82c5-93f0c80aaf64,INSTITUTO DE PESQUISAS AMBIENTAIS,SEM SIGLA,"Núcleo Conservação da Biodiversidade São Paulo, São Paulo, CEP 04301-902, Brazil","Instituto de Pesquisas Ambientais, Núcleo Conservação da Biodiversidade São Paulo, São Paulo, CEP 04301-902, Brazil"
054bbc61-58a3-404f-99dd-7a73d38bb65a,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,SEM SIGLA,"Programa de Pós-Graduação em Botânica, Feira de Santana, Bahia, CEP 44036-900, Brazil","Universidade Estadual de Feira de Santana, Programa de Pós-Graduação em Botânica, Feira de Santana, Bahia, CEP 44036-900, Brazil"
2211128e-a0d7-4d09-9be8-b31df498996c,ESCOLA INTERNACIONAL DA UNISOCIESC,SEM SIGLA,"Florianópolis SC, 88034-600, Brazil","Escola Internacional da Unisociesc, Florianópolis SC, 88034-600, Brazil"
fa30fb7c-9351-4bc1-a14a-6d9087f7217e,GRADUATE PROGRAM IN BIOLOGY OF FUNGI ALGAE AND PLANTS,SEM SIGLA,"Federal University of Santa Catarina, Florianópolis SC, 88044-900, Brazil","Graduate Program in Biology of Fungi Algae and Plants, Federal University of Santa Catarina, Florianópolis SC, 88044-900, Brazil"
5b0648c5-7be5-493b-83ed-3fd99757245f,BIOLOGY DEPARTMENT,SEM SIGLA,"College of Science, Taibah University, Yanbu, Saudi Arabia","Biology Department, College of Science, Taibah University, Yanbu, Saudi Arabia"
7053482f-0c12-405a-a7ae-dd771998bc8f,ZOOLOGY DEPARTMENT,SEM SIGLA,"Faculty of Science, Ain Shams University, Cairo, Egypt","Zoology Department, Faculty of Science, Ain Shams University, Cairo, Egypt"
8dc27022-4b9c-4bac-a330-f62c94d965d0,DEPARTMENT OF MEDICAL LABORATORY TECHNOLOGY,SEM SIGLA,"Faculty of Applied Medical Sciences, University of Tabuk, Saudi Arabia","Department of Medical Laboratory Technology, Faculty of Applied Medical Sciences, University of Tabuk, Saudi Arabia"
0f0eeada-8e9d-42c2-a077-18339edb280c,CENTRE OF INNOVATION IN PERSONALIZED MEDICINE,SEM SIGLA,"King Abdulaziz University, Jeddah, Saudi Arabia","Centre of Innovation in Personalized Medicine, King Abdulaziz University, Jeddah, Saudi Arabia"
82a02c83-b58f-412d-9d62-5f3b21525c5f,CENTER OF EXCELLENCE IN GENOMIC MEDICINE RESEARCH,SEM SIGLA,"King Abdulaziz University, Jeddah, Saudi Arabia","Center of Excellence in Genomic Medicine Research, King Abdulaziz University, Jeddah, Saudi Arabia"
3b603314-aa03-4295-b5e8-84300240fb84,AGROBIOSCIENCES PROGRAM,SEM SIGLA,"College of Agriculture and Environmental Sciences, University Mohammed VI Polytechnic, Ben-Guerir, 43150, Morocco","AgroBioSciences Program, College of Agriculture and Environmental Sciences, University Mohammed VI Polytechnic, Ben-Guerir, 43150, Morocco"
