article_id,authors_id
2-s2.0-85159940910,58284555800
2-s2.0-85159940910,58284736500
2-s2.0-85159940910,23466323200
2-s2.0-85159940910,58284736600
2-s2.0-85159940910,56180863100
2-s2.0-85159940910,57222586130
2-s2.0-85182739878,57189997353
2-s2.0-85182739878,23102478200
2-s2.0-85182739878,57191487788
2-s2.0-85182739878,55522309100
2-s2.0-85182739878,6505988638
2-s2.0-85182739878,6604071121
2-s2.0-85158094907,14321619100
2-s2.0-85158094907,14321630600
2-s2.0-85158094907,55649570418
2-s2.0-85180594890,57695862200
2-s2.0-85180594890,16026047200
2-s2.0-85180594890,57225156335
2-s2.0-85180488167,7404823190
2-s2.0-85180488167,55857016100
2-s2.0-85099005983,36671065500
2-s2.0-85099005983,57219838343
2-s2.0-85099005983,56574619500
2-s2.0-85099005983,23010033400
2-s2.0-85099005983,8662392800
2-s2.0-85099005983,57102600900
2-s2.0-85099005983,23488300800
2-s2.0-85175699890,57572872200
2-s2.0-85175699890,23488300800
2-s2.0-85175699890,59130563100
2-s2.0-85175699890,57537549200
2-s2.0-85175699890,57878583900
2-s2.0-85175699890,36671065500
2-s2.0-85143637863,7005108433
2-s2.0-85143637863,58098764200
2-s2.0-85143637863,58098764300
2-s2.0-85143637863,58098363500
2-s2.0-85142315500,21740981100
2-s2.0-85142315500,57195137908
2-s2.0-85142315500,56375219100
2-s2.0-85142315500,57210523474
2-s2.0-85142315500,57972477900
2-s2.0-85142315500,57193419762
2-s2.0-85184514492,11439785800
2-s2.0-85184514492,57437382000
2-s2.0-85138517489,36238351000
2-s2.0-85138517489,54791912300
2-s2.0-85138517489,57222111689
2-s2.0-85138517489,57194556086
2-s2.0-85138517489,7005991646
2-s2.0-85138517489,57900435800
2-s2.0-85138517489,57901051600
2-s2.0-85138517489,57203508429
2-s2.0-85138517489,8514175000
2-s2.0-85138517489,7004881648
2-s2.0-85130703864,23488300800
2-s2.0-85130703864,57218692913
2-s2.0-85130703864,54400903800
2-s2.0-85130703864,7101819169
2-s2.0-85130703864,56001057200
2-s2.0-85130703864,56969121300
2-s2.0-85130703864,57210153123
2-s2.0-85130703864,56223245200
2-s2.0-85130703864,54796520600
2-s2.0-85130703864,34977020900
2-s2.0-85130703864,6506975800
2-s2.0-85144986923,58033631200
2-s2.0-85144986923,57217586268
2-s2.0-85144986923,57211517694
2-s2.0-85144986923,57205354998
2-s2.0-85144986923,57941928000
2-s2.0-85144986923,56678427700
2-s2.0-85144986923,57214933167
2-s2.0-85144986923,57205650865
2-s2.0-85144986923,15843882800
2-s2.0-85144986923,56912806800
2-s2.0-85144986923,7006101264
2-s2.0-85104492172,36801557200
2-s2.0-85104492172,57220440908
2-s2.0-85104492172,21740616600
2-s2.0-85127319916,8209890400
2-s2.0-85161323162,57330056100
2-s2.0-85161323162,58307288500
2-s2.0-85161323162,55255150000
2-s2.0-85118877429,57330056100
2-s2.0-85118877429,55888396500
2-s2.0-85118877429,55255150000
2-s2.0-85190590083,58990074800
2-s2.0-85190590083,58990172800
2-s2.0-85190590083,8552357900
2-s2.0-85190590083,57216382433
2-s2.0-85190590083,57208773705
2-s2.0-85190590083,56865751700
2-s2.0-85190590083,6603270966
2-s2.0-85190590083,57194200282
2-s2.0-85190590083,58989569800
2-s2.0-85190590083,57222993185
2-s2.0-85190590083,6505927039
2-s2.0-85190590083,6603645297
2-s2.0-85170659126,57205485416
2-s2.0-85170659126,6504407012
2-s2.0-85170659126,55387251900
2-s2.0-85170659126,58572720900
2-s2.0-85170659126,7801428464
2-s2.0-85167798644,57204954391
2-s2.0-85167798644,6603406462
2-s2.0-85167798644,56611758400
2-s2.0-85167798644,6504042501
2-s2.0-85167798644,6603470724
2-s2.0-85138075409,55969282400
2-s2.0-85138075409,6505800874
2-s2.0-85138075409,57195808879
2-s2.0-85138075409,7006367719
2-s2.0-85111971188,57189693875
2-s2.0-85111971188,6506070441
2-s2.0-85111971188,9336442300
2-s2.0-85111971188,57213264251
2-s2.0-85111971188,25031382900
2-s2.0-85177439490,58704214300
2-s2.0-85177439490,57218494332
2-s2.0-85177439490,8557144500
2-s2.0-85177439490,57554557800
2-s2.0-85177439490,58704516200
2-s2.0-85177439490,8886111200
2-s2.0-85186930141,57223859777
2-s2.0-85186930141,57392944700
2-s2.0-85186930141,57402022000
