especie_id,nome_cientifico
375,Tovomita longirostrata
376,Tovomita manauara
377,Tovomita speciosa
378,Tovomita vismiifolia
379,Combretum rotundifolium
380,Terminalia congesta
381,Terminalia duckei
382,Terminalia fanshawei
383,Terminalia macrophylla
384,Terminalia ochroprumna
385,Terminalia pallidovirens
386,Terminalia pulcherrima
387,Terminalia suaveolens
388,Terminalia viridiflora
389,Cnestidium froesii
390,Connarus angustifolius
391,Connarus manausensis
392,Connarus marleneae
393,Connarus ramiflorus
394,Rourea duckei
395,Rourea kappleri
396,Rourea ligulata
397,Rourea paraensis
398,Rourea pubescens
399,Bonamia ferruginea
400,Dicranostyles falconiana
401,Dicranostyles solimoesensis
402,Dicranostyles yrypoana
403,Ipomoea cavalcantei
404,Ipomoea marabaensis
405,Ipomoea spruceana
406,Maripa elongata
407,Cordia decipiens
408,Cordia ripicola
409,Cordia ulei
410,Chamaecostus fragilis
411,Chamaecostus fusiformis
412,Costus fortalezae
413,Costus juruanus
414,Costus sprucei
415,Cayaponia duckei
416,Gurania malacophylla
417,Gurania spruceana
418,Gurania velutina
419,Asplundia brasiliensis
420,Asplundia krukoffii
421,Asplundia latifrons
422,Bisboeckelera longifolia
423,Bulbostylis cangae
424,Bulbostylis graminifolia
425,Cyperus bampsii
426,Eleocharis ayacuchensis
427,Eleocharis pedrovianae
428,Eleocharis tenuiculmis
429,Rhynchospora acanthoma
430,Rhynchospora paraensis
431,Rhynchospora ruiziana
432,Rhynchospora seccoi
433,Scleria pusilla
434,Scleria scandens
435,Dichapetalum coelhoi
436,Dichapetalum pauper
437,Tapura lanceolata
438,Tapura singularis
439,Davilla cuspidulata
440,Davilla lanosa
441,Davilla neei
442,Davilla pedicellaris
443,Davilla strigosa
444,Doliocarpus aracaensis
445,Doliocarpus areolatus
446,Doliocarpus aureobaccus
447,Doliocarpus humboldtianus
448,Doliocarpus prancei
449,Doliocarpus pruskii
450,Dioscorea lacerdaei
451,Dioscorea neblinensis
452,Dioscorea traillii
453,Drosera amazonica
454,Diospyros akaraiensis
455,Diospyros arupaj
456,Diospyros bullata
457,Diospyros cachimboensis
458,Diospyros guatterioides
459,Diospyros kondor
460,Diospyros krukovii
461,Diospyros landii
462,Diospyros longistyla
463,Diospyros manausensis
464,Diospyros santaremnensis
465,Diospyros tarim
466,Diospyros trombetensis
467,Diospyros uaupensis
468,Rotula pohlii
469,Sloanea dubia
470,Sloanea erismoides
471,Sloanea froesii
472,Sloanea heteroneura
473,Sloanea parva
474,Sloanea pseudoverticillata
475,Gaylussacia amazonica
476,Vaccinium pipolyi
477,Eriocaulon carajense
478,Eriocaulon herzogii
479,Eriocaulon milhoense
480,Eriocaulon multiscapum
481,Paepalanthus cururensis
482,Paepalanthus fasciculatus
483,Paepalanthus piresii
484,Paepalanthus septentrionalis
485,Paepalanthus singularius
486,Syngonanthus cachimboensis
487,Syngonanthus discretifolius
488,Syngonanthus egleri
489,Syngonanthus heteropeploides
490,Syngonanthus lanatus
491,Syngonanthus sickii
492,Syngonanthus xinguensis
493,Heisteria amazonica
494,Heisteria amphoricarpa
495,Heisteria huberiana
496,Heisteria laxiflora
497,Erythroxylum campinense
498,Erythroxylum carajasense
