"article_id","affiliation_id"
"2-s2.0-85124005642","9efcdb40-ca8c-4df6-9977-7077acf114bf"
"2-s2.0-85124005642","7d0a48d9-5dc5-4220-9955-89c44af3ad1b"
"2-s2.0-85124005642","a44a05b6-ccd4-4c8f-b3bb-e95a6e6fefe5"
"2-s2.0-85124005642","ef4b391e-760f-4bfd-916e-135e54d6ca10"
"2-s2.0-85124005642","b5622c4a-b21f-4e63-b644-347e4d71b486"
"2-s2.0-85132537421","218d887b-9762-46e3-ae22-2adfefe6d20c"
"2-s2.0-85135730861","028d04d5-ce8e-40cb-a9c1-96882db90ca1"
"2-s2.0-85135730861","578a2668-d18e-4df6-b01b-cfb84344c051"
"2-s2.0-85135730861","d18e2a90-a718-473c-a60f-080177dc178c"
"2-s2.0-85178385301","9fe4427c-986b-41af-91c0-81cdeefeaefd"
"2-s2.0-85178385301","5fc8b217-983e-45a2-b8c3-aac97e0e5bcb"
"2-s2.0-85178385301","9733cd80-8350-4808-910a-b6ae43c73b85"
"2-s2.0-85126999621","11d69371-fc42-4cf2-8458-014ef1b958c3"
"2-s2.0-85126999621","9600600a-a9d3-4a52-8a78-2866b782ee87"
"2-s2.0-85129068950","445e50ca-f224-404a-b52d-9792f941ef69"
"2-s2.0-85129068950","8102c908-078f-4f71-b8a7-12b2e05f0982"
"2-s2.0-85118181962","1294b224-2036-4e73-a926-35b75e9b6803"
"2-s2.0-85118181962","b97d2a1f-3ddd-484f-8a7f-b5f10eb6651b"
"2-s2.0-85154576999","5e428d7f-a420-4349-86b5-02cbe38c8592"
"2-s2.0-85154576999","58e4a405-d5e3-4929-a281-b7193e5a8302"
"2-s2.0-85117324730","ec0a0b59-0dd3-478f-a97a-7e48e4c4958c"
"2-s2.0-85117324730","6b1e869c-6e8e-41f9-982a-7004c244028f"
"2-s2.0-85184823294","2eb96142-e3be-4261-97d8-2e41302786c0"
"2-s2.0-85184823294","2115de27-b64a-489d-b0d2-fa59112e84ad"
"2-s2.0-85184823294","eb287afa-290f-44ea-a22d-b81d81c9e3e0"
"2-s2.0-85184823294","58aa1923-766d-4e93-a8f3-a3079f9a4c29"
"2-s2.0-85184823294","c1d07b64-2fb3-4c23-b5f2-f3e7376ce763"
"2-s2.0-85184823294","7eff9579-503e-49e2-8241-62165d3d2b3f"
