avaliacao_id,data_avaliacao,reavaliacao,historico_de_avaliacoes,grupo_nome,categoria_risco,nome_cientifico,grupo_taxonomico
6369,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6370,2020,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,Alibertia curviflora,Angiospermas
6371,2020,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,Alibertia duckei,Angiospermas
6372,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,Alibertia sorbilis,Angiospermas
6373,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6374,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6375,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,VU,,
6376,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Alseis labatioides,Angiospermas
6377,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6378,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6379,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6380,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6381,2019,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6382,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Amaioua contracta,Angiospermas
6383,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Amaioua monteiroi,Angiospermas
6384,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6385,2020,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,Appunia aurantiaca,Angiospermas
6386,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6387,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,Appunia triphylla,Angiospermas
6388,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6389,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Bathysa bathysoides,Angiospermas
6390,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6391,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6392,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6393,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6394,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6395,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,DD,,
6396,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6397,2017,Sim,Reavaliada: Mudou para categoria MENOS restritiva; Continuou em P443 em categoria ameaçada,Angiospermas,EN,,
6398,2017,Sim,Continuou em P443 na mesma categoria de ameaça (após reavaliação),Angiospermas,CR,,
6399,2016,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6400,2016,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6401,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,DD,,
6402,2017,Sim,Continuou em P443 na mesma categoria de ameaça (após reavaliação),Angiospermas,CR,,
6403,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6404,2019,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6405,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Calycophyllum tefense,Angiospermas
6406,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,VU,,
6407,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6408,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,Chimarrhis barbata,Angiospermas
6409,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,Chimarrhis duckeana,Angiospermas
6410,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6411,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6412,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6413,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,CR,,
6414,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6415,2019,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6416,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,NT,,
6417,2021,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6418,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6419,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6420,2021,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6421,2020,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6422,2020,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6423,2021,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6424,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6425,2019,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,VU,,
6426,2021,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6427,2021,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,VU,,
6428,2019,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6429,2015,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6430,2020,Sim,Continuou em P443 na mesma categoria de ameaça (após reavaliação),Angiospermas,EN,,
6431,2021,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6432,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6433,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6434,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6435,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6436,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6437,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6438,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Coussarea insignis,Angiospermas
6439,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6440,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6441,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6442,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6443,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Coussarea locuples,Angiospermas
6444,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6445,2020,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6446,2019,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6447,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6448,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6449,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6450,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6451,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6452,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6453,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6454,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6455,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6456,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6457,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6458,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6459,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6460,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6461,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6462,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6463,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6464,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6465,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6466,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6467,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Duroia hirsutissima,Angiospermas
6468,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6469,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6470,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6471,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6472,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6473,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
